sent0,sent1,hard_neg
"Eu tinha que ajudar de alguma maneira, não sabia muito como, queria continuar os meus estudos.","Tinha de ajudar de alguma forma, apesar de não saber muito bem como.","Eu não tinha que ajudar de maneira nenhuma, já sabia muito bem como, não queria continuar os meus estudos."
"Os modelos de 21.5 polegadas atualizados também ganharam processadores mais potentes, gráficos melhorados e novas opções ao nível do storage.",A versão de 21.5 polegadas foi atualizada com um processador mais rápido e melhores gráficos.,"Os modelos de 21.5 polegadas mantiveram os mesmos processadores, gráficos e opções de storage."
"Cristiano Ronaldo, futebolista português, vai participar do filme “O Manipulador”, dirigido por Martin Scorsese.","O futebolista português fará parte do elenco de uma das próximas longa-metragens de Martin Scorsese, ""O Manipulador"".","Cristiano Ronaldo, futebolista português, não vai participar do filme “O Manipulador”, dirigido por Martin Scorsese."
"Hoje, dia em que faz 10 anos, a Autoridade de Segurança Alimentar e Económica (ASAE) deve estar paralisada.",A Autoridade de Segurança Alimentar e Económica (ASAE) completa hoje dez anos.,"Hoje, dia em que completa 10 anos, a Autoridade de Segurança Alimentar e Económica (ASAE) deve estar em festa."
"Isobel Bowdery, de 22 anos, sobreviveu porque fingiu estar morta mais de uma hora durente o ataque no Bataclan.",Isobel Bowdery sobreviveu porque passou uma hora a fingir estar morta.,"Isobel Bowdery, apesar de fingir estar morta durante uma hora, não sobreviveu ao ataque no Bataclan."
A agência oficial saudita SPA informou nesta sexta-feira que 800.000 peregrinos já chegaram ao país para a celebração do Hajj.,A agência oficial saudita SPA informou que cerca de 800 mil peregrinos chegaram ao país para a celebração do Hajj.,"A agência oficial saudita SPA informou nesta sexta-feira que menos de 800 peregrinos chegaram ao país, impossibilitando a celebração do Hajj."
"Segundo a empresa, as músicas armazenadas no dispositivo Zune funcionarão normalmente.",O dispositivo Zune e todas músicas que o utilizador detém vão trabalhar normalmente.,"Segundo a empresa, embora o dispositivo Zune possa funcionar, as músicas armazenadas poderão apresentar falhas."
"O anúncio deu-se após Netanyahu ter voltado da Assembleia-Geral das Nações Unidas, que decorreu em Nova Iorque.","Netanyahu chegava de Nova Iorque, onde tinha estado presente para a Assembleia-Geral das Nações Unidas.","O anúncio deu-se antes de Netanyahu partir para a Assembleia-Geral das Nações Unidas, que decorreria em Nova Iorque."
O líder da Fenprof congratula-se com a decisão do Tribunal Constitucional de declarar a inconstitucionalidade da prova de avaliação docente.,A prova de avaliação docente foi considerada inconstitucional pelo Tribunal Constitucional.,O líder da Fenprof lamenta a decisão do Tribunal Constitucional de não declarar a inconstitucionalidade da prova de avaliação docente.
"Luisão fraturou o antebraço esquerdo durante o encontro de ontem frente ao Sporting, em Alvalade.",Luisão contraiu uma fratura no antebraço esquerdo no dérbi.,Luisão evitou a fratura no antebraço esquerdo ao desviar a bola no clássico.
Estes acordos permitem que os três bancos portugueses emprestem até 420 milhões de euros a empresas de cariz inovador durante dois anos.,Os três bancos podem disponibilizar até 420 milhões de euros durante os próximos dois anos.,Estes acordos impedem que os três bancos portugueses emprestem mais de 420 mil euros a empresas sem cariz inovador durante dois anos.
"Um jovem, de 23 anos, foi baleado na cabeça na sequência de um tiroteio que decorreu hoje, cerca das 18 horas, na Estação de Olhão.","Um homem foi baleado na cabeça, na estação de Olhão.","Um idoso, na casa dos 70 anos, não foi baleado na cabeça, mas sim socorrido na Estação de Olhão."
"Votaram 230 deputados, com dois votos brancos e Fernando Negrão recolheu 108.",Fernando Negrão recolheu apenas 108 votos.,"Fernando Negrão recolheu 108 votos, mas necessitava de 116."
Luís Filipe Vieira falou esta noite em Vendas Novas (Évora) sobre a aposta do Benfica na formação.,Luís Filipe Vieira voltou a falar na aposta que o clube está a fazer na formação.,"Luís Filipe Vieira silenciou a formação do Benfica esta noite, contrariando a aposta anterior."
"Três freiras e o padre do convento de Requião foram constituídos arguidos por suspeitas de escravidão, maus tratos e rapto.","Em causa estão suspeitas de escravidão, maus tratos e rapto.","Três freiras e o padre do convento de Requião não foram constituídos arguidos, ilibados das suspeitas de escravidão, maus tratos e rapto."
"De acordo com o Alto Comissariado das Nações Unidas para os Refugiados, só este ano, chegaram à Grécia mais de 450.000 refugiados, a maioria delas fugindo à guerra civil na Síria.","Mais de 450.000 pessoas chegaram à Grécia, a maioria delas fugindo à guerra civil na Síria.","De acordo com fontes governamentais gregas, menos de 450.000 turistas chegaram à Grécia este ano, apesar do fim da guerra civil na Síria."
"O Tondela é antepenúltimo na classificação com quatro pontos, com um de vantagem sobre Moreirense e Académica.",O Tondela ocupa o antepenúltimo lugar com quatro pontos.,"O Tondela lidera a classificação com quatro pontos, enquanto Moreirense e Académica somam apenas um."
"Para o técnico Rafa Benítez, o atacante Cristiano Ronaldo é versão de Pau Gasol no time do Real Madrid.",Rafa Benítez comparou Cristiano Ronaldo à estrela do basquetebol espanhol Pau Gasol.,"Para Rafa Benítez, Cristiano Ronaldo não chega a ser um Pau Gasol no Real Madrid."
"Mesmo com a derrota, o Palermo tem um a mais e aparece na sétima posição.",O Palermo permaneceu em sétimo lugar.,"Apesar da vitória, o Palermo perdeu uma posição e caiu para o oitavo lugar."
"Jackie Collins foi uma escritora prolífica, com mais de 500 milhões de romances traduzidos em 40 línguas.","Jackie Collins deixa como legado uma vasta obra, com romances traduzidos em mais de 40 línguas.","Apesar de prolífica, Jackie Collins não atingiu 500 milhões em vendas de romances, limitando seu legado a poucas traduções."
"O Governo não tem memória, mas os portugueses vão-lhe apresentar a conta dos últimos quatro anos.",O povo vai apresentar a conta por tudo o que fizeram nos últimos quatro anos.,"Os portugueses não vão apresentar a conta, o Governo já pagou a fatura dos últimos quatro anos."
"Marlon James, de 44 anos, é o primeiro jamaicano a receber um Man Booker.","Marlon James, de 44 anos, ganhou o Man Booker.","Marlon James, de 44 anos, perdeu o Man Booker."
Há três resultados possíveis mas na verdade nós estamos concentrados e queremos ganhar.,Há três resultados possíveis.,"Há três resultados possíveis, e nenhum nos interessa."
Junts pel Sí e CUP já avisaram que não vão obedecer a ordens judiciais que pretendam suspender o processo.,Mas deixa claro que não obedecerão a decisões judiciais que visem suspender este processo.,"Junts pel Sí e CUP, como esperado, prometeram obedecer a todas as ordens judiciais, mesmo que pretendam suspender o processo."
Ter um cão em casa nos primeiros anos de vida diminui em 15 por cento a probabilidade de ter asma.,As crianças que crescem em habitações com cães têm uma menor probabilidade de sofrer de asma.,A convivência com cães na infância aumenta em 15 por cento o risco de desenvolver asma.
"E o rácio de core tier 1 alcançou os 13,7%, acima dos 13,3% do ano passado.","Houve ainda uma melhoria do rácio de core tier 1 para 13,7%.","Contudo, o rácio de core tier 1 desceu para 13,0%, abaixo dos 13,3% do ano anterior."
"Sempre fiz filmes com as minhas obsessões, tiques e manias, mas não muda nada.","Desde sempre que faço filmes sobre as minhas obsessões, tiques, manias, neuroses.","Nunca farei filmes com minhas obsessões, tiques e manias, pois isso muda tudo."
"O vencedor do Prémio Literário José Saramago deste ano é Bruno Vieira do Amaral, autor de As Primeiras Coisas, publicado em 2013.",Bruno Viera Amaral conquistou o Prémio Saramago deste ano com o livro As Primeiras Coisas.,"O vencedor do Prémio Literário José Saramago deste ano não é Bruno Vieira do Amaral, apesar de As Primeiras Coisas, publicado em 2013, ser um forte candidato."
"Este processo já foi testado, com sucesso, em laboratório e em ratos com vários tipos de tumores.","A técnica foi testada em ratos de laboratório, com resultados animadores.","O processo foi testado em laboratório e em ratos, sem sucesso, agravando os tumores."
"Em jogo quente, o Borussia Dortmund venceu o Schalke 04 no clássico de maior rivalidade da Alemanha.",O Borussia Dortmund venceu o seu maior rival.,"Em jogo frio, o Schalke 04 venceu o Borussia Dortmund, rival menor da Alemanha."
A DGES divulgou no dia 24 de Setembro os resultados da 2.ª fase do Concurso Nacional de Acesso ao Ensino Superior.,Os resultados foram divulgados pela Direção-Geral do Ensino Superior (DGES).,A DGES não divulgou os resultados do Concurso Nacional de Acesso ao Ensino Superior.
"A descoberta foi agora publicada no Social Psychological and Personality Science, um jornal especializado em psicologia social e da personalidade.",As conclusões foram publicadas na revista Social Psychological and Personality Science.,"A refutação foi sumariamente rejeitada pelo Social Psychological and Personality Science, apesar da relevância para a psicologia social e da personalidade."
O ator português irá estar entre as estrelas internacionais na cerimónia dos Emmy Awards que tem como apresentador principal Bassem Youssef.,A cerimónia dos Emmy Awards vai ser apresentada pelo humorista Bassem Youssef.,"O ator português não irá estar entre as estrelas internacionais na cerimónia dos Emmy Awards, que não tem Bassem Youssef como apresentador."
"Nos últimos dois anos, o Instagram passou a permitir anúncios de certas marcas, como Victoria's Secret e Old Navy.",O Instagram começou a permitir o uso de propagandas há dois anos.,"Nos últimos dois anos, o Instagram deixou de exibir anúncios de marcas como Victoria's Secret e Old Navy."
No dia 01 de Outubro a DGES divulga a lista com as vagas disponíveis para cada instituição e curso.,As vagas que vão para concurso serão divulgadas no dia 1 de Outubro pela DGES.,No dia 01 de Outubro a DGES não divulga nenhuma lista com as vagas disponíveis para qualquer instituição e curso.
"Sobre a Wii U, a Nintendo reporta um crescimento nas vendas de 110%.","Relativamente а Wii U, foi dito que houve um aumento de 110 porcento nas vendas.","Em contraste com a Wii U, a Nintendo reportou um declínio nas vendas de 110%."
"Lúcia tem origem portuguesa e emigrou com os pais da Póvoa do Lanhoso, Braga, para França, quando ainda era criança.","Lúcia emigrou para França, com os pais.","Lúcia imigrou de França para a Póvoa do Lanhoso, Braga, com os avós."
"Todos sabem qual era o objetivo do Sporting, que era a vitória hoje.",O grande objetivo do Sporting era vencer aqui hoje.,"O objetivo do Sporting hoje não era a vitória, mas evitar a derrota."
"Verificou-se ainda que a maioria dos alunos fumadores (51,9%) refere ter familiares na sua residência que fumam.",A maioria dos alunos fumadores dizem que familiares fumam em casa.,Verificou-se que a minoria dos alunos fumadores (apenas 10%) declara não ter familiares fumantes em sua residência.
"Chris Rock será o apresentador dos Óscares 2016, anunciou o próprio nas redes sociais.",Chris Rock será o anfitrião da edição de 2016 dos Óscares.,Chris Rock não será o apresentador dos Óscares 2016.
"Os Serviços Prisionais seguem decisão do juiz e rejeitam pedidos de entrevista ao ex-primeiro-ministro, Sócrates.",Serviços prisionais rejeitam pedidos de entrevista a Sócrates.,Serviços Prisionais autorizam pedidos de entrevista a Sócrates.
Os taxistas nacionais vão continuar a manifestar-se na rua contra a actividade da aplicação Uber em Portugal.,Os taxistas vão sair de novo à rua em protesto contra a Uber.,Os taxistas nacionais ponderam terminar as manifestações na rua a favor da atividade da aplicação Uber em Portugal.
A equipa do treinador Rui Jorge passa agora a somar 15 pontos e lidera isolada o grupo 4.,Equipa de Rui Jorge lidera isolada o grupo 4.,"A equipa de Rui Jorge não lidera isolada o grupo 4, somando apenas 10 pontos."
"Francisco aterrou nos Estados Unidos terça-feira, vindo de Cuba, onde deixou mensagens a apelar a revolução da reconciliação.",Francisco deixou a Cuba e seguiu para os Estados Unidos na terça-feira.,"Na terça-feira, Francisco partiu dos Estados Unidos para Cuba, após recusar apelos à reconciliação."
A CBS anunciou esta segunda-feira o regresso de Star Trek ao pequeno ecrã.,Teremos o regresso de Star Trek à televisão.,A CBS anunciou esta segunda-feira o adiamento do regresso de Star Trek ao pequeno ecrã.
"Há mais três confirmações para o Vodafone Mexefest: Márcia, Petite Noir e Benjamim.",Acabam de ser confirmados mais três nomes para o Vodafone Mexefest.,"Há menos três confirmações para o Vodafone Mexefest: Márcia, Petite Noir e Benjamim."
"A posição da instituição lisboeta gerou contestação, já que o Instituto Superior Técnico integra a Universidade de Lisboa.",O Instituto Superior Técnico faz parte da Universidade de Lisboa.,"A posição da instituição lisboeta gerou consenso, apesar de o Instituto Superior Técnico se ter dissociado da Universidade de Lisboa."
"Caução foi imposta pelo juiz Carlos Alexandre, apesar de o Ministério Público não ter exigido o pagamento de qualquer quantia.",O pagamento da caução foi imposto pelo juiz Carlos Alexandre.,A caução não foi imposta pelo juiz Carlos Alexandre.
"O ano passado competiram com o Bayern cara a cara, pelo que o objetivo é sempre superar o que fizeram no ano passado.",Mas no ano encararam o Bayern cara a cara.,"Este ano evitaram o Bayern cara a cara, pois o objetivo é esquecer o que sofreram no ano passado."
Temos de estar com os pés no chão no próximo jogo e pensar sempre que poderemos melhorar muitas coisas.,Podemos sempre melhorar muitas coisas.,Não podemos melhorar nada.
"O gigante da tecnologia deverá ainda aproveitar o evento para revelar uma nova pulseira fitness, a Microsoft Band 2.","Além de tudo isso teremos ainda uma nova pulseira fitness, a Microsoft Band 2.","A gigante da tecnologia não deverá aproveitar o evento para revelar uma nova pulseira fitness, a Microsoft Band 2."
"Para aliciar os possíveis clientes, o serviço dá a possibilidade dos utilizadores experimentarem gratuitamente durante um mês.",O primeiro mês é totalmente gratuito.,"Apesar de aliciar com um mês gratuito, o serviço cobra integralmente desde o primeiro dia."
O eclipse da Lua de segunda-feira será total porque toda a face visível da Lua é obscurecida pela sombra da Terra (umbra).,"No eclipse da Lua desta segunda-feira, toda a face visível da Lua ficou obscurecida pela sombra da Terra (umbra).","No eclipse da Lua de segunda-feira, apenas uma pequena parte da face visível da Lua não foi obscurecida pela sombra da Terra (umbra)."
"Segundo o Omeni, 647 moradias ficaram destruídas, 1.183 famílias estão sem energia elétrica e 2.400 sem água potável.","Em relação aos serviços básicos, 2.400 famílias permanecem sem água potável e 1.183 sem eletricidade.","Apesar do Omeni, apenas 647 moradias necessitam de reparos, 1.183 famílias já possuem energia elétrica e 2.400 acessam água potável regularmente."
"Segundo a BBC, o serviço de recomendações falsas custava apenas 4 euros por comentário ou classificação.","De acordo com a BBC, cada comentário ou classificação falsa custava quatro euros.","Segundo a BBC, o serviço de recomendações autênticas custava até 4 euros por comentário ou classificação."
"Um dos agredidos foi Xavier Broseta, diretor dos Recursos Humanos da empresa, que ficou apenas com a gravata ao pescoço.","Xavier Broseta, chefe de recursos humanos daquela companhia área, ficou apenas com a gravata ao pescoço.","Xavier Broseta, ex-diretor de Recursos Humanos, entregou a gravata ao pescoço de um dos agressores."
António Costa garante que o PS tem uma nova política de distribuição das prestações sociais que passa por diminuir alguns apoios e aumentar outros.,A fórmula socialista para a distribuição das prestações sociais é diminuir alguns apoios e aumentar outros.,"António Costa nega que o PS tenha uma nova política de distribuição das prestações sociais, mantendo todos os apoios inalterados."
"O telescópio Kepler encontrou, na estrela KIC 8462852, na constelação Cygnus, uma variação de luz incomum.",Foi na constelação Cygnus que o telescópio Kepler mostrou algo extremamente invulgar.,"Na constelação Cygnus, o telescópio Kepler não encontrou nenhuma variação de luz incomum na estrela KIC 8462852, demonstrando um comportamento estelar comum."
"Depois de ter atuado no Meo Arena passado sábado, dia 24, com lotação esgotada, Mickael Carreira fez uma declaração ao pai.","Mickael Carreira atuou no passado sábado, dia 24, no MEO Arena.","Antes de atuar no Meo Arena no futuro sábado, dia 24, com lotação por esgotar, Mickael Carreira evitou uma declaração ao pai."
Na próxima terça-feira será novamente dia de nomeações para decidir quem será expulso no próximo domingo.,Novas nomeações serão feitas na próxima terça-feira.,"Na próxima terça-feira, ninguém será nomeado, evitando a expulsão no próximo domingo."
Programa de governo não integra medidas do PS mas deixa cair plafonamento das pensões.,O plafonamento das pensões sai do programa do Governo.,Programa de governo integra medidas do PS e mantém plafonamento das pensões.
"Aos 65 anos, Les Milne morreu, vítima da doença de Parkinson, com a qual viveu durante 20 anos.","Les Milne morreu, aos 65 anos, vítima da doença de Parkinson.","Les Milne, aos 65 anos, superou a doença de Parkinson, após 20 anos."
"O sorteio da Taça da Liga ditou o Paços de Ferreira, o Arouca e o Portimonense no grupo do Sporting.","O Sporting joga com o Paços de Ferreira, Portimonense e Arouca.","O Sporting ditou o Paços de Ferreira, o Arouca e o Portimonense fora da Taça da Liga."
"O Aquaris M10 estará disponível na loja online da BQ e em pontos de venda autorizados em Novembro, a partir de 249,90 euros.","O preço do Aquaris M10 começa nos 249,90 euros e também estará disponível durante novembro.","O Aquaris M10 não estará disponível em Novembro, nem na loja online da BQ, e o preço ultrapassará os 249,90 euros."
"O colapso da parte lateral do vulcão da Ilha do Fogo aconteceu há milhares de anos, mas o fenómeno pode voltar a acontecer.","Nada impede que, no futuro, fenómenos como o do vulcão da Ilha do Fogo voltem a acontecer.","O colapso da parte lateral do vulcão da Ilha do Fogo aconteceu há milhares de anos e, embora o fenómeno possa voltar a acontecer, tudo indica que não voltará."
"A banda britânica, conhecida por levar por levar ao limite as suas produções, vai atuar no centro da MEO Arena, a partir das 20h00.","A banda britânica vai atuar no centro da MEO Arena, a partir das 20h00.","A banda britânica, apesar de evitar produções grandiosas, não vai atuar no centro da MEO Arena, só a partir das 23h00."
"O triunfo fez o Valencia subir cinco posições na tabela, alcançado a sexta colocação, com cinco pontos.","A vitória levou o Valencia aos cinco pontos na tabela, dando um grande salto na tabela.","A derrota fez o Valencia cair cinco posições na tabela, estacionado na décima sexta colocação, com cinco pontos."
"Apoiados por helicópteros dos EUA, as forças curdas libertaram 70 reféns curdos que ali se encontravam sequestrados pelo Estado Islâmico.",Uma operação dos EUA e das forças curdas libertou 70 curdos sequestrados pelo Estado Islâmico.,"Apoiados pelo Estado Islâmico, helicópteros curdos sequestraram 70 reféns dos EUA, libertados pelas forças curdas."
"Até agora, na zona da Grande Lisboa, havia apenas dois locais onde os utentes podiam realizar colonoscopias comparticipadas.","Até agora, apenas duas entidades garantiam colonoscopias na zona da Grande Lisboa.","Até agora, na Grande Lisboa, existiam múltiplos locais e entidades a garantir colonoscopias comparticipadas."
"Uma menina síria de cinco anos foi encontrada, este sábado, sem vida, depois do barco em que seguia ter afundado.",Uma menina síria de 5 anos morreu quando um barco afundou.,"Uma menina síria de cinco anos foi encontrada, este sábado, com vida, depois do barco em que seguia ter afundado."
As autoridades polícias referiram que haveria 13 mortos e pelo menos outras 20 pessoas ficaram feridas.,O incidente fez pelo menos 13 mortos e cerca de 20 feridos.,"As autoridades desmentiram, não havendo mortos ou feridos no incidente."
"No entanto, as ameaças de atentados do Estado Islâmico estendem-se a Paris, Roma e Península Ibérica.",O Estado Islâmico ameaça realizar ataques em Roma e também na Península Ibérica.,"Apesar das ameaças do Estado Islâmico a Paris, Roma e Península Ibérica, a segurança foi reforçada e nenhum atentado foi confirmado."
"No entanto, duas empreendedoras norte-americanas quiseram ir mais longe e criaram uma app para avaliar pessoas.",Duas empreendedoras norte-americanas desenvolveram uma app que permite aos utilizadores avaliar outras pessoas.,"No entanto, duas empreendedoras norte-americanas decidiram inovar e criaram uma app para conectar pessoas, não para as avaliar."
"Trinta e duas pessoas morreram, 130 foram hospitalizadas, algumas em estado crítico.","Morreram 32 pessoas, sendo que 130 ainda estão hospitalizadas.","Trinta e duas pessoas sobreviveram, 130 foram dispensadas, todas em plena saúde."
"Henning Mankell era casado com Eva Bergman, de 70 anos, filha do cineasta Ingmar Bergman.","Foi casado com Eva Bergman, filha do realizador Ingmar Bergman.","Não foi casado com Eva Bergman, apesar de filha do cineasta Ingmar Bergman."
"A estimativa é de que a cirurgia dure 36 horas, com mais de 150 médicos e enfermeiros envolvidos.","A operação deve envolver 150 técnicos, entre médicos e enfermeiros.","A cirurgia não deve durar mais que 3 horas, com menos de 15 técnicos, entre médicos e enfermeiros."
"Em nove minutos, Lewandowski marcou cinco golos, uma proeza sem paralelo no futebol alemão.",Lewandowski conseguiu marcar cinco golos em apenas nove minutos.,"Em nove minutos, Lewandowski não marcou nenhum golo, falhando uma oportunidade sem paralelo no futebol alemão."
Júlia Pinheiro aproveitou ainda para agradecer o carinho dos fãs nos últimos dias.,Júlia Pinheiro tem sido acarinhada pelos fãs ao longo dos últimos dias.,Júlia Pinheiro ignorou o carinho dos fãs nos últimos dias.
Quatro bombeiros sofreram queimaduras de segundo grau neste fim de semana na Califórnia e continuam hospitalizados.,Quatro bombeiros tiveram de ser hospitalizados devido a queimaduras de segundo grau.,Nenhum bombeiro sofreu queimaduras neste fim de semana na Califórnia e todos receberam alta.
"A Federbert revelou, ainda, que este é o terceiro jogo suspeito que envolve o Skenderbeu nesta época.",Este é o terceiro jogo suspeito do Skenderbeu nesta época.,Este não é o terceiro jogo suspeito do Skenderbeu nesta época.
"Para além de Portugal, França, Chipre e Finlândia viram o número de desempregados aumentar neste mês.","França, Chipre e Finlândia registaram igualmente aumentos.","Ao contrário de França, Chipre e Finlândia, Portugal viu o número de desempregados diminuir neste mês."
"Dália Madruga e Marcos Tenório Bastinhas casaram-se este sábado (17 de outubro), na cidade em Elvas.","Dália Madruga e Marcos Tenório trocaram alianças, este sábado, em Elvas.","Dália Madruga e Marcos Tenório Bastinhas divorciaram-se este sábado, em Elvas."
"Segundo avança a BBC, os dois bombistas suicidas fizeram-se explodir em momentos diferentes, numa mesquita em Sanaa, capital do Iémen.","Dois bombistas suicidas fizeram-se explodir numa mesquita em Sanaa, capital do Iémen.","Segundo recua a BBC, os dois bombistas suicidas não se fizeram explodir, pacificamente, numa mesquita em Sanaa, capital do Iémen."
Também Angélica foi punida uma vez que foi ela que chamou Rúben da Cruz depois de ouvir gritos de fora da quinta.,Angélica chamou Rúben quando ouviu os gritos do lado de fora da quinta.,Também Angélica não foi punida uma vez que não foi ela que chamou Rúben da Cruz apesar de ouvir gritos de fora da quinta.
"Na história do Nobel da Literatura, apenas um autor português foi premiado, quando, em 1998, José Saramago recebeu o galardão.",José Saramago é até agora o único autor português que recebeu este prémio Nobel da Literatura.,"Na história do Nobel da Literatura, vários autores portugueses foram premiados, incluindo José Saramago em 1998, embora ele não seja o único detentor do galardão."
"O BPI liderou as subidas, ganhando 4,62%, seguido pela Portucel, que avançou 3,58%.","A segunda maior subida coube à Portucel que ganhou 3,58%.","O BPI liderou as descidas, perdendo 4,62%, seguido pela Portucel, que recuou 3,58%."
"Os primeiros relatos davam conta de vários feridos, na sequência de um tiroteio entre os atacantes e a polícia.",Os primeiros relatos apontavam para a existência de feridos em resultado de um tiroteio.,"Os primeiros relatos minimizavam a ocorrência de feridos, apesar de um tiroteio."
"A defesa de José Sócrates revelou que o ex-primeiro-ministro socialista vai votar no domingo ""sem escolta policial"" num stand na rua Camilo Castelo Branco.",José Sócrates vai sair de casa sem escolta policial e votar na rua Camilo Castelo Branco.,"A defesa de José Sócrates confirmou que o ex-primeiro-ministro socialista não vai votar no domingo ""com escolta policial"" na rua Camilo Castelo Branco."
"O Comité Nobel acabou por escolher o Quarteto de Diálogo para a Tunísia, uma organização da sociedade civil, para o prémio da paz deste ano.",O Quarteto de Diálogo para a Tunísia venceu o prémio Nobel da Paz deste ano.,O Comité Nobel falhou ao não escolher o Quarteto de Diálogo para a Tunísia para o prémio da paz deste ano.
"Grupo de assaltantes invadiu um hotel na capital Bamako e disparou tiros, fazendo reféns 140 hóspedes e 30 funcionários.",Grupo de assaltantes disparou tiros e terão sido feitos 170 reféns: 140 serão hóspedes do hotel e 30 serão funcionários.,"Grupo de socorristas invadiu um hotel na capital Bamako e distribuiu sorrisos, libertando reféns: 140 hóspedes e 30 funcionários."
Com 74.230 votos o partido PAN (Pessoas Animais Natureza) acaba de conquistar um lugar no Parlamento.,O PAN conseguiu mesmo assegurar um lugar no Parlamento.,"Apesar dos votos, o PAN não conseguiu assegurar um lugar no Parlamento."
"Apesar dos valores ainda não serem oficiais, tudo indica que o Benfica pagou 4,6 milhões de euros por 90% do passe.","O Benfica paga 4,6 milhões de euros por 90% do passe.","O Benfica não paga 4,6 milhões de euros por 10% do passe."
"Toronto já foi candidata a ser sede dos Jogos Olímpicos de 1996 e 2008, sendo derrotada em ambas as vezes.",Toronto falhou duas vezes em candidaturas olímpicas.,Toronto finalmente foi escolhida como sede olímpica após duas candidaturas derrotadas.
O Aquaris A4.5 é o novo smartphone que traz o projecto Android One a Portugal e Espanha.,O sistema Android One chegará a Portugal através do telemóvel Aquaris A4.5.,"Apesar do Aquaris A4.5 ser promovido como Android One, o sistema não vingou em Portugal e Espanha."
"Um adulto e quatro menores ficaram feridos numa escola da Suécia, depois de serem atacados por um homem mascarado empunhando uma espada.","Um homem entrou numa escola da Suécia com uma espada e feriu, pelo menos, cinco pessoas.","Um adulto e quatro menores defenderam uma escola na Suécia, desarmando um homem mascarado empunhando uma espada."
"Assim, a tomada de posse dos deputados da nova Assembeia da República deve acontecer na próxima sexta-feira.",Os novos deputados poderão tomar posse já na próxima sexta-feira.,"Apesar disso, a posse dos deputados da nova Assembleia da República não acontecerá na próxima sexta-feira."
A partir do próximo ano a Playboy vai deixar de publicar fotografias de modelos totalmente nuas.,A revista norte-americana Playboy vai deixar de conter imagens de mulheres nuas.,"A partir do próximo ano, a Playboy vai publicar ainda mais fotografias de modelos totalmente nuas."
"Liliana irritou-se com Larama, o vencedor do Big Brother de Angola, e o caso terminou com insultos e agressões.",Liliana agrediu o vencedor do “Big Brother Angola“.,"Liliana e Larama, o vencedor do Big Brother de Angola, resolveram as suas diferenças com abraços e sorrisos."
"Numa conferência numa universidade de Madrid, Wozniak aproveitou para relembrar o início da empresa e recordar Steve Jobs, falecido em 2011.","Wozniak aproveitou o momento para relembrar o outro fundador da Apple, falecido em 2011, o Steve Jobs.","Wozniak aproveitou para esquecer o falecido Steve Jobs, recordando o início da empresa sem ele."
Equipa de cientistas identifica uma proteína (GPR3) que pode estar na génese do desenvolvimento de Alzheimer.,Um grupo de cientistas identificou uma proteína que parece desempenhar um papel-chave na doença de Alzheimer.,Equipa de cientistas identifica ausência da proteína (GPR3) como fator protetor no desenvolvimento de Alzheimer.
"Com a terceira vitória no Campeonato Alemão, o Mainz assumiu, provisoriamente, a terceira colocação, com nove pontos.",O Mainz chegou à terceira vitória no Campeonato Alemão.,"Apesar da terceira vitória no Campeonato Alemão, o Mainz não repetiu a terceira colocação."
"Segundo o jornal britânico ""The Sun"", Otto Nahmmacher afirmou que Mourinho não lhe dirigiu a palavra e que o empurrou.","Em declarações ao jornal The Sun, Otto Nahmmacher garante que José Mourinho o empurrou.","Segundo o jornal ""The Sun"", Otto Nahmmacher desmentiu ter sido empurrado por Mourinho, negando qualquer desavença."
"O Meo Arena recebe, a 2 de maio, os Muse com a sua Drones World Tour.","O concerto dos Muse terá lugar no Meo Arena, dia 2 de maio.","A Meo Arena não recebe, a 2 de maio, os Muse, adiando a Drones World Tour."
"Cientistas têm a expectativa de aprender sobre o formato, dimensões, superfície e outras características do asteroide.","Os cientistas esperam conhecer a forma, as dimensões e as características do asteróide.","Cientistas não têm expectativa de aprender sobre o formato, dimensões, superfície e outras características do asteroide."
A jovem de 23 anos vive em Luanda e foi a grande vencedora do Big Brother Angola 2.,"A jovem de 23 anos foi vencedora do Big Brother Angola 2, reality-show.",A jovem de 23 anos não viveu em Luanda e não foi a vencedora do Big Brother Angola 2.
Carlos César entregou esta manhã a moção de rejeição do PS ao Governo de Passos Coelho.,Carlos César já entregou a moção de rejeição do PS.,Carlos César não entregou a moção de rejeição do PS.
Street Fighter V será lançado para PS4 e PC na primavera americana de 2016.,Street Fighter V chegará ao PC e PlayStation 4 em 2016.,Street Fighter V não será lançado para PS4 e PC em 2016.
"Um duplo atentado suicida fez esta quinta-feira pelo menos 43 mortos e 239 feridos em Beirute, no Líbano.","Pelo menos 40 pessoas ficaram feridas no duplo atentado suicida em Beirute, no Líbano.","Nenhum atentado suicida ocorreu nesta quinta-feira em Beirute, no Líbano, sem mortos ou feridos."
Tim Cook mandou hoje um email ao Staff da Apple para relembrar o quarto aniversário da morte de Steve Jobs.,Assinalam-se hoje quatro anos desde que Steve Jobs nos deixou.,Tim Cook enviou hoje um email à Apple a pedir ao Staff para esquecer o quarto aniversário do regresso de Steve Jobs.
"Além da equipa russa, o Sporting vai defrontar no Grupo H da Liga Europa o Skënderbeu e o Besiktas.","O Sporting está no Grupo H da Liga Europa, juntamente com o Beskitas e Skënderbeu.","Apesar de estar no Grupo H da Liga Europa com o Besiktas e Skënderbeu, o Sporting não vai defrontar a equipa russa."
